date,symbol,target_close,action,cash,shares,portfolio_value,buy_hold_value,predicted_action
2024-10-17 09:30:00,JFC,277.4,HOLD,109187.72946827498,0.0,109187.72946827498,115583.33333333333,HOLD
2024-10-18 09:30:00,JFC,276.8,HOLD,109187.72946827498,0.0,109187.72946827498,115333.33333333334,HOLD
2024-10-21 09:30:00,JFC,276.0,BUY,0.0,395.6077154647644,109187.72946827498,115000.0,BUY
2024-10-22 09:30:00,JFC,278.6,BUY,0.0,395.6077154647644,110216.30952848337,116083.33333333334,BUY
2024-10-23 09:30:00,JFC,275.2,BUY,0.0,395.6077154647644,108871.24329590316,114666.66666666667,BUY
2024-10-24 09:30:00,JFC,267.0,HOLD,0.0,395.6077154647644,105627.2600290921,111250.0,HOLD
2024-10-25 09:30:00,JFC,266.4,BUY,0.0,395.6077154647644,105389.89539981322,111000.0,BUY
2024-10-28 09:30:00,JFC,269.0,BUY,0.0,395.6077154647644,106418.47546002163,112083.33333333334,BUY
2024-10-29 09:30:00,JFC,265.0,BUY,0.0,395.6077154647644,104836.04459816257,110416.66666666667,BUY
2024-10-30 09:30:00,JFC,270.0,BUY,0.0,395.6077154647644,106814.08317548639,112500.0,BUY
2024-10-31 09:30:00,JFC,265.2,BUY,0.0,395.6077154647644,104915.16614125551,110500.0,BUY
2024-11-04 09:30:00,JFC,264.2,BUY,0.0,395.6077154647644,104519.55842579075,110083.33333333333,BUY
2024-11-05 09:30:00,JFC,275.0,BUY,0.0,395.6077154647644,108792.12175281021,114583.33333333334,BUY
2024-11-06 09:30:00,JFC,271.2,BUY,0.0,395.6077154647644,107288.8124340441,113000.0,BUY
2024-11-07 09:30:00,JFC,265.0,HOLD,0.0,395.6077154647644,104836.04459816257,110416.66666666667,HOLD
2024-11-08 09:30:00,JFC,260.0,BUY,0.0,395.6077154647644,102858.00602083874,108333.33333333334,BUY
2024-11-11 09:30:00,JFC,260.0,BUY,0.0,395.6077154647644,102858.00602083874,108333.33333333334,BUY
2024-11-12 09:30:00,JFC,259.4,BUY,0.0,395.6077154647644,102620.64139155988,108083.33333333333,BUY
2024-11-13 09:30:00,JFC,255.0,BUY,0.0,395.6077154647644,100879.96744351492,106250.0,BUY
2024-11-14 09:30:00,JFC,258.0,BUY,0.0,395.6077154647644,102066.79058990921,107500.0,BUY
2024-11-15 09:30:00,JFC,260.0,BUY,0.0,395.6077154647644,102858.00602083874,108333.33333333334,BUY
2024-11-18 09:30:00,JFC,260.0,HOLD,0.0,395.6077154647644,102858.00602083874,108333.33333333334,HOLD
